Player,Country,Age,Attack,Block,Serve,Set,Dig,Receive,Position
Ichikawa Yuki,Japan,28,15.8,1.13,1.4,0.07,4.8,5.6,OH
Romano Yuri,Italy,26,12.33,1.07,1.47,0,3.87,0,OP
Abdel-Aziz Nimir,Nederland,31,15.33,0.67,2.08,0,3.17,0.25,OP
Herrera Jaime Jesus,Cuba,28,15,0.92,1.75,0,3.33,0.17,OP
Takahashi Ran,Japan,22,11.53,0.67,1,0.07,6.4,5.07,OH
Luburic Drazen,Serbia,30,14.33,0.58,1.08,0,4.25,0,OP
Urnaut Tine,Slovenia,35,12.62,0.31,1.38,0,5.85,5,OH
Zhang Jingyin,China,24,13.5,1.83,1.42,0,3.42,4,OH
Souza Alen,Brazil,29,12.46,0.62,0.54,0,4.15,0,OP
Souza Ricardo Lucarelli,Brazil,31,11.85,0.92,1.46,0.15,5.38,3.62,OH
Palonsky Luciano,Argentina,24,11.62,1,1.46,0,5.62,4.38,OH
Lopez Castro Miguel Angel,Cuba,26,12.33,0.58,1.33,0,4,4.42,OH
Cebulj Klemen,Slovenia,31,11.15,1.38,0.69,0,4.69,2.15,OH
Defalco Torey,USA,26,9.53,0.87,1.07,0,4.2,3.87,OH
Mozic Rok,Slovenia,21,10.77,1.08,0.77,0,3.31,2.54,OH
Anderson Matthew,USA,36,9.07,0.53,1.13,0,4.47,0,OP
Weber Linus,Germany,24,10.42,0.75,0.75,0,2.92,0,OP
Kujundzic Miran ,Serbia,26,10.33,0.92,1.33,0.08,5.42,4.58,OP
Nishida Yuji,Japan,23,8.5,0.21,0.86,0.07,2.93,0.07,OP
Lima Bruno,Argentina,27,9.15,0.54,0.54,0,2.31,0.15,OP
Maar Stephen Timothy,Canada,29,9.75,1.25,0.67,0.17,4.67,4.75,OH
Miyaura Kento,Japan,24,7.73,0.33,1,0,1.93,0,OP
Michieletto Alessandro,Italy,22,10.45,1.55,1.18,0,5.45,2.82,OH
Nikolov Aleksandar,Bulgaria,20,14.25,0.62,0.88,0,4.12,4.62,OH
Sclater Ryan Joseph,Canada,29,9.5,0.92,0.58,0,4.25,0,OP
Vicentin Luciano ,Argentina,23,8.62,1.15,0.46,0,5.54,4.31,OH
Leon Venero Wilfredo,Poland,30,9.91,1.27,1.27,0,1.91,1.73,OH
Lavia Daniele,Italy,24,9.82,1.82,0.55,0,4.55,5.55,OH
Reichert Moritz,Germany,28,8.67,0.67,0.75,0,4.33,5.75,OH
Loser Agustin,Argentina,26,7.92,4.08,0.92,0,2.31,0.69,MB
Van Garderen Maarten,Nederland,33,8.58,1.25,0.83,0,3.58,3.25,OH
Atanasov Martin,Bulgaria,27,8.33,1.08,0.67,0,3.17,5.25,OH
Esmaeilnezhad Amin,Iran,27,12,1,1.75,0,3.5,0.25,OP
